Index,FromName,FromNum,ToName,ToNum,K,label
1,bld1,1,bld2,2,2,"K[bld1,bld2]"
2,bld1,1,liv0,3,0.075,"K[bld1,liv0]"
3,bld1,1,kid,5,0.0125,"K[bld1,kid]"
4,bld1,1,ST0,6,2,"K[bld1,STO]"
5,bld1,1,ST1,7,0.0375,"K[bld1,ST1]"
6,bld1,1,ubc,12,0.1,"K[bld1,ubc]"
7,bld1,1,SI,13,0.025,"K[bld1,SI]"
8,bld1,1,ts,8,0.375,"K[bld1,ts]"
9,bld1,1,cs,10,0.375,"K[bld1,cs]"
10,bld2,2,bld1,1,0.462,"K[bld2,bld1]"
11,liv0,3,SI,13,0.116,"K[liv0,SI]"
12,liv0,3,bld1,1,0.116,"K[liv0,bld1]"
13,liv0,3,liv1,4,0.462,"K[liv0,liv1]"
14,liv1,4,bld1,1,0.01,"K[liv1,bld1]"
15,kid,5,bld1,1,0.01,"K[kid,bld1]"
16,ST0,6,bld1,1,0.462,"K[STO,bld1]"
17,ST1,7,bld1,1,0.02,"K[ST1,bld1]"
18,ts,8,bld1,1,0.000493,"K[ts,bld1]"
19,ts,8,tv,9,0.000247,"K[ts,tv]"
20,tv,9,bld1,1,0.000493,"K[tv,bld1]"
21,cs,10,bld1,1,8.21E-05,"K[cs,bld1]"
22,cs,10,cv,11,4.11E-05,"K[cs,cv]"
23,cv,11,bld1,1,8.21E-05,"K[cv,urn]"
24,ubc,12,urn,15,12,"K[ubc,urn]"
25,SI,13,col,14,1.5,"K[SI,col]"
26,col,14,fec,16,1.5,"K[col,fec]"
27,SI,13,bld1,1,0.003006012024048,"K[SI,bld1]"
